Name of business,Address,Postcode,Notes,Website,Twitter,Facebook,YouTube,Photo,Type of business,Key
Lush,57 Cornmarket Street,OX1 3HA,,http://www.lush.co.uk/,lushltd,lush.co.uk,lushcosmetics,,Retail/Cosmetics,toothpaste-generic;lotion-generic;soap-generic
Thorntons,3c Westgate Centre,OX1 1NU,,,,,,,Retail/Confectioner,chocolate-generic
Thorntons,48 Cornmarket Street,OX1 3HA,,,,,,,Retail/High Street Shop,chocolate-generic
Marks & Spencer,13-18 Queen Street,OX1 1AB,,,,,,,Retail/Supermarket,tea-generic;bananas-generic;coffee-generic;chocolate-generic;wine-generic;sugar-generic;jams_spreads-generic
Cardew & Co Tea and Coffee,"131-136 The Covered Market, Oxford",OX1 3DZ,,http://www.cardewoxford.co.uk/,,,,,Retail/Independent Retailer,coffee-generic;tea-generic
Nothing,"Avenue 4, The Covered Market, Oxford",OX1 3DZ,,,,,,,Retail/Clothing,jewelery-generic;jewelery-generic
Oxfam Book Shop,St Giles,OX1 3LU,,,,,,,Retail/Charity Shop,tea-generic;coffee-generic;giftwrap-generic;handicrafts-generic
Woodstock Rd Deli,15 Woodstock Rd,OX2 6HA,,,,,,,Retail/Food Shop,biscuits-generic;tea-generic;cocoa-generic
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,5,,
Globe Newsagents,17 Woodstock Rd,OX2 6HA,,,,,,,Retail/Newsagent,chocolate-generic;cocoa-generic;sugar-generic
East West Provisions,61a Woodstock Rd,OX2 6HJ,,,,,,,Retail/Food Shop,chocolate-generic;ice_cream-generic;tea-generic;sugar-generic;wine-generic;coffee-generic;coffee-generic;cocoa-generic
Court Candy,65 Woodstock Rd,OX2 6HJ,,,,,,,Retail/Confectioner,chocolate-generic;chocolate-generic
Tuck Shop,"Holywell St, Oxford",OX1 3SB,,,,,,,Catering/Cafe,chocolate-generic;chocolate-generic
Tesco,St Aldates,OX1 1RA,,,,,,,Retail/Supermarket,coffee-generic;chocolate-generic;tea-generic;cocoa-generic;bananas-generic
Tesco,Magdalen Street,OX1 3AD,,,,,,,Retail/Supermarket,
Exclusive Roots,"8 Woodstock Road, Oxford",OX2 6HT,,,,,,,Retail/Clothing,clothing-generic;jewelery-generic;homewares-generic
Marks & Spencer,Woodstock Road,OX2 8LA,,,,,,,Retail/Clothing,
Sainsbury,21 Westgate,OX1 1PA,,,,,,,Retail/Supermarket,
