Category,Product Type,Description,Image,Link
Beauty,Beauty,,,
Food and Drink,Beer & Ale,,,http://www.fairtrade.net/sugar.html
Food and Drink,Bananas,,,http://www.fairtrade.net/bananas.html
Food and Drink,Biscuits,,,
Food and Drink,Cakes & Brownies,,,http://www.fairtrade.net/sugar.html
Food and Drink,Cereals & Bars,,,
Food and Drink,Chocolate,,,http://www.fairtrade.net/cocoa.html
Food and Drink,Cocoa,,,http://www.fairtrade.net/cocoa.html
Food and Drink,Coffee,,,http://www.fairtrade.net/coffee.html
Clothing and Textiles,Cotton,,,http://www.fairtrade.net/cotton.html
Food and Drink,Dried Fruit,,,http://www.fairtrade.net/fresh_fruit.html
Flowers,Flowers,,,http://www.fairtrade.net/flowers.html
Food and Drink,Fresh Fruits,,,http://www.fairtrade.net/fresh_fruit.html
Food and Drink,Fresh Veg,,,http://www.fairtrade.net/fresh_fruit.html
Food and Drink,Herbs & Spices,,,http://www.fairtrade.net/sugar.html
Food and Drink,Honey,,,http://www.fairtrade.net/sugar.html
Food and Drink,Hot Chocolate,,,http://www.fairtrade.net/cocoa.html
Food and Drink,Ice Cream,,,http://www.fairtrade.net/sugar.html
Food and Drink,Jams & Spreads,,,http://www.fairtrade.net/sugar.html
Food and Drink,Juice & Soft Drinks,,,http://www.fairtrade.net/juices.html
Food and Drink,Molasses,,,
Food and Drink,Nuts/nut Oil,,,
Food and Drink,Olives & Olive Oil,,,
Food and Drink,Pulses,,,http://www.fairtrade.net/rice.html
Food and Drink,Quinoa,,,http://www.fairtrade.net/rice.html
Food and Drink,Rice,,,http://www.fairtrade.net/rice.html
Food and Drink,Spirits,,,http://www.fairtrade.net/wine.html
Clothing and Textiles,Sports Balls,,,http://www.fairtrade.net/sports_balls.html
Food and Drink,Sugar,,,http://www.fairtrade.net/sugar.html
Food and Drink,Sweets,,,http://www.fairtrade.net/sugar.html
Food and Drink,Syrup,,,http://www.fairtrade.net/sugar.html
Food and Drink,Tea,,,
Food and Drink,Tea & Herbal Tea,,,
Food and Drink,Wine,,,http://www.fairtrade.net/wine.html
Food and Drink,Yoghurt,,,
Household,Homeware,,,
Household,Cleaning Products,,,
Crafts and Gifts,Childrens Toys,,,
Crafts and Gifts,Woodwork,,,
Crafts and Gifts,Glassware,,,
Crafts and Gifts,Candles,,,
Crafts and Gifts,Jewelery,,,
